epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,2073.37,0.74007,0.58226,1.06294,0.91732,0.88307,0.92669,0.67576,0.9447,0.54772,1.09177,0.000281762,0.000281762,0.000281762
34,2136.47,0.73247,0.56532,1.05227,0.92752,0.88093,0.9325,0.68291,0.95912,0.54711,1.10205,0.000266535,0.000266535,0.000266535
35,2198.72,0.72007,0.56418,1.05023,0.91174,0.88333,0.93074,0.68439,0.94893,0.5509,1.09059,0.000251309,0.000251309,0.000251309
36,2262.47,0.71427,0.55121,1.03788,0.93104,0.88989,0.93686,0.68834,0.95565,0.53704,1.09742,0.000236083,0.000236083,0.000236083
37,2325.39,0.72264,0.54995,1.04822,0.92089,0.89514,0.93631,0.68555,0.9398,0.53664,1.09067,0.000220857,0.000220857,0.000220857
38,2387.59,0.71119,0.53312,1.04101,0.92187,0.88107,0.93159,0.68872,0.94035,0.53064,1.09534,0.000205631,0.000205631,0.000205631
39,2449.75,0.70094,0.53122,1.03042,0.91762,0.87875,0.92788,0.68942,0.93777,0.54119,1.08845,0.000190404,0.000190404,0.000190404
40,2509.54,0.69561,0.51664,1.0326,0.92624,0.88947,0.93418,0.70058,0.93322,0.51889,1.08695,0.000175178,0.000175178,0.000175178
41,2590.26,0.76388,0.45223,1.04874,0.92905,0.89298,0.93592,0.69179,0.93491,0.52494,1.08385,0.000159952,0.000159952,0.000159952
42,2652.92,0.75769,0.44042,1.04082,0.92056,0.90126,0.93521,0.69933,0.92871,0.51773,1.08593,0.000144726,0.000144726,0.000144726
43,2712.27,0.75092,0.43155,1.03704,0.92363,0.90258,0.93889,0.69804,0.92442,0.51599,1.07735,0.0001295,0.0001295,0.0001295
44,2772.02,0.73955,0.42,1.03599,0.92381,0.90016,0.9426,0.70591,0.90772,0.50752,1.06962,0.000114273,0.000114273,0.000114273
45,2832.27,0.72441,0.41188,1.02456,0.92839,0.89152,0.93722,0.70541,0.91309,0.50535,1.06937,9.90472e-05,9.90472e-05,9.90472e-05
46,2892.45,0.72392,0.40802,1.02028,0.91858,0.89972,0.93688,0.70142,0.91231,0.50549,1.07264,8.3821e-05,8.3821e-05,8.3821e-05
47,2952.15,0.71345,0.40018,1.01817,0.91643,0.89838,0.94122,0.70907,0.90667,0.49652,1.07357,6.85948e-05,6.85948e-05,6.85948e-05
48,3011.83,0.70564,0.39566,1.0124,0.91457,0.89928,0.94274,0.71134,0.90405,0.48862,1.06851,5.33686e-05,5.33686e-05,5.33686e-05
49,3071.17,0.69907,0.38693,1.00597,0.93089,0.90112,0.94093,0.71167,0.90123,0.48886,1.06614,3.81424e-05,3.81424e-05,3.81424e-05
50,3130.61,0.6914,0.3847,1.00514,0.92608,0.90344,0.94414,0.71246,0.9001,0.48601,1.06687,2.29162e-05,2.29162e-05,2.29162e-05
